MMFE8 VMM CH  Gain      Pedestal  (PDO = Q*G + P)
102   5   43  1.09e+01  5.88e+00  
102   5   44  9.87e+00  2.26e+00  
102   5   45  8.65e+00  3.78e+01  
102   5   46  1.45e+01  -7.14e+01 
102   5   47  1.09e+01  -1.25e+01 
102   5   48  9.15e+00  1.63e+01  
102   5   49  9.66e+00  1.03e+01  
102   5   50  9.99e+00  9.19e+00  
102   5   51  8.62e+00  4.45e+01  
102   5   52  1.04e+01  2.27e+01  
102   5   53  3.68e+00  2.26e+01  
102   5   54  1.09e+01  6.74e+00  
102   5   55  9.12e+00  6.48e-01  
102   5   56  9.30e+00  1.66e+01  
102   5   57  9.61e+00  1.55e+01  
102   5   58  9.98e+00  3.02e+01  
102   5   59  9.73e+00  4.72e+01  
102   5   60  1.03e+01  1.68e+01  
102   5   61  9.43e+00  5.58e+01  
102   5   62  9.26e+00  3.06e+01  
102   5   63  9.41e+00  -1.79e+00 
102   5   64  9.09e+00  -5.95e+02 
102   6   2   1.03e+01  2.49e+01  
102   6   3   1.10e+01  5.96e+01  
102   6   4   1.16e+01  3.04e+01  
102   6   5   1.09e+01  7.01e+01  
102   6   6   1.06e+01  4.71e+01  
102   6   7   1.18e+01  2.64e+01  
102   6   8   1.10e+01  5.00e+01  
102   6   9   1.04e+01  3.42e+01  
102   6   10  1.14e+01  4.78e+01  
102   6   11  1.10e+01  2.87e+01  
102   6   12  1.16e+01  1.80e+01  
102   6   13  1.23e+01  2.71e+01  
102   6   14  1.09e+01  3.08e+01  
102   6   15  1.20e+01  3.62e+01  
102   6   16  1.09e+01  1.54e+01  
102   6   17  1.17e+01  3.55e+01  
102   6   18  1.09e+01  3.96e+01  
102   6   19  1.24e+01  1.33e+01  
102   6   20  1.14e+01  2.23e+01  
102   6   22  1.13e+01  1.08e+01  
102   6   23  1.21e+01  7.94e+00  
102   6   24  2.60e+01  -3.03e+02 
102   6   25  1.24e+01  1.63e+01  
102   6   26  1.22e+01  1.43e+01  
102   6   27  1.17e+01  2.70e+01  
102   6   28  1.12e+01  4.09e+01  
102   6   29  1.27e+01  3.85e+01  
102   6   30  1.12e+01  -7.81e+02 
102   6   31  1.21e+01  -1.60e+01 
102   6   32  1.33e+01  1.33e+01  
102   6   33  1.21e+01  3.09e+01  
102   6   34  1.21e+01  1.60e+01  
102   6   35  1.11e+01  4.57e+01  
102   6   36  1.31e+01  1.60e+01  
102   6   37  1.28e+01  1.27e+01  
102   6   38  1.20e+01  1.60e+01  
102   6   39  1.32e+01  1.44e+01  
102   6   40  1.32e+01  1.20e+01  
102   6   41  1.21e+01  3.40e+01  
102   6   42  1.19e+01  2.23e+01  
102   6   43  1.34e+01  7.94e+01  
102   6   44  1.10e+01  2.06e+01  
102   6   45  1.64e+01  1.31e-01  
102   6   46  1.28e+01  3.39e+01  
102   6   47  1.18e+01  2.55e+01  
102   6   48  1.34e+01  4.64e+01  
102   6   49  1.25e+01  3.97e+01  
102   6   50  1.15e+01  5.28e+01  
102   6   51  1.25e+01  3.61e+01  
102   6   52  1.33e+01  4.00e+01  
102   6   53  1.15e+01  4.03e+01  
102   6   54  1.21e+01  2.99e+01  
102   6   55  1.20e+01  3.33e+01  
102   6   56  1.20e+01  3.43e+01  
102   6   57  1.21e+01  7.51e+01  
102   6   58  1.27e+01  4.05e+01  
102   6   59  1.28e+01  3.49e+01  
102   6   60  2.90e+01  -4.33e+02 
102   6   61  1.23e+01  5.15e+01  
102   6   62  1.25e+01  3.84e+01  
102   6   63  1.15e+01  4.46e+01  
102   6   64  1.22e+01  5.01e+01  
102   7   1   8.48e+00  2.51e+01  
102   7   2   8.66e+00  2.06e+01  
